Rail Station Name,Travel Location No,Month Name (Travel Date),Calendar Year (Travel Date),Transaction Type,Count of Taps
Abbey Road DLR,750,April,2018,Entry,18151
Abbey Road DLR,750,April,2018,Exit,15674
Abbey Wood,5131,April,2018,Exit,109562
Abbey Wood,5131,April,2018,Entry,137627
Acton Central,1404,April,2018,Exit,70946
Acton Central,1404,April,2018,Entry,75541
Acton Main Line,3000,April,2018,Exit,3940
Acton Main Line,3000,April,2018,Entry,5928
Acton Town,500,April,2018,Exit,238276
Acton Town,500,April,2018,Entry,236125
Albany Park,5132,April,2018,Exit,15021
Albany Park,5132,April,2018,Entry,20669
Aldgate,502,April,2018,Entry,323831
Aldgate,502,April,2018,Exit,348796
Aldgate East,503,April,2018,Entry,554514
Aldgate East,503,April,2018,Exit,515562
Alexandra Palace,6025,April,2018,Exit,46401
Alexandra Palace,6025,April,2018,Entry,45604
All Saints,850,April,2018,Entry,37256
All Saints,850,April,2018,Exit,30570
Alperton,505,April,2018,Exit,115970
Alperton,505,April,2018,Entry,109147
Amersham,506,April,2018,Entry,84730
Amersham,506,April,2018,Exit,78929
Anerley,5397,April,2018,Exit,18882
Anerley,5397,April,2018,Entry,22896
Angel,507,April,2018,Exit,667334
Angel,507,April,2018,Entry,664304
Angel Road,6909,April,2018,Exit,832
Angel Road,6909,April,2018,Entry,771
Archway,508,April,2018,Entry,342625
Archway,508,April,2018,Exit,313292
Arnos Grove,509,April,2018,Entry,189671
Arnos Grove,509,April,2018,Exit,173722
Arsenal,510,April,2018,Entry,151668
Arsenal,510,April,2018,Exit,146964
Baker Street,511,April,2018,Exit,1100303
Baker Street,511,April,2018,Entry,1168365
Balham LU,512,April,2018,Exit,526126
Balham LU,512,April,2018,Entry,536028
Balham NR,5399,April,2018,Exit,295406
Balham NR,5399,April,2018,Entry,282813
Bank,513,April,2018,Exit,1597586
Bank,513,April,2018,Entry,1673407
Banstead,5348,April,2018,Entry,2406
Banstead,5348,April,2018,Exit,1823
Barbican,501,April,2018,Entry,395682
Barbican,501,April,2018,Exit,406866
Barking,514,April,2018,Exit,706460
Barking,514,April,2018,Entry,732795
Barkingside,515,April,2018,Entry,60580
Barkingside,515,April,2018,Exit,59485
Barnehurst,5089,April,2018,Exit,19216
Barnehurst,5089,April,2018,Entry,24299
Barnes,5551,April,2018,Exit,40505
Barnes,5551,April,2018,Entry,47146
Barnes Bridge,5580,April,2018,Entry,16916
Barnes Bridge,5580,April,2018,Exit,14459
Barons Court,516,April,2018,Entry,264868
Barons Court,516,April,2018,Exit,243723
Battersea Park,5420,April,2018,Exit,56847
Battersea Park,5420,April,2018,Entry,57113
Bayswater,517,April,2018,Entry,190999
Bayswater,517,April,2018,Exit,171484
Beckenham Hill,5076,April,2018,Entry,8501
Beckenham Hill,5076,April,2018,Exit,6013
Beckenham Junction,5046,April,2018,Entry,49925
